Id,Tables,Join Conditions,Predicates,Cardinality,Prediction,QError,CardinalityBucket,TableCombo,PredicateSignature
3661,movie_info_idx mi_idx,,"mi_idx.info_type_id,=,112",250,289376,1157.504,101-1k,mi_idx,mi_idx.info_type_id:=
75,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","mc.company_id,=,11244,mc.company_type_id,<,2,ci.person_id,<,2276272,ci.role_id,=,10",3,831,277.0,<=10,t|mc|ci,mc.company_id:=|mc.company_type_id:<|ci.person_id:<|ci.role_id:=
1710,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,=,1937,ci.role_id,>,1",8,1698,212.25,<=10,t|ci|mk,t.kind_id:=|t.production_year:=|ci.role_id:>
4128,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,<,2005,mc.company_id,>,10584,mc.company_type_id,<,2",418,55225,132.11722488038276,101-1k,t|mc|mk,t.kind_id:=|t.production_year:<|mc.company_id:>|mc.company_type_id:<
1492,cast_info ci,,"ci.person_id,=,2002826,ci.role_id,=,2",1,125,125.0,<=10,ci,ci.person_id:=|ci.role_id:=
2943,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,=,1,ci.person_id,=,1322213",1,100,100.0,<=10,t|ci|mk,t.kind_id:=|ci.person_id:=
2991,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.production_year,<,1991,mc.company_id,=,228,mc.company_type_id,=,1,mi.info_type_id,=,7",4216,47,89.70212765957447,1k-10k,t|mc|mi,t.production_year:<|mc.company_id:=|mc.company_type_id:=|mi.info_type_id:=
4087,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,=,2014,ci.role_id,<,3",14774,198,74.61616161616162,10k-100k,t|ci,t.production_year:=|ci.role_id:<
3194,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,=,166,mc.company_type_id,=,1",8081,115,70.2695652173913,1k-10k,t|mc,mc.company_id:=|mc.company_type_id:=
2930,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,=,28437,mc.company_type_id,=,2",791,12,65.91666666666667,101-1k,t|mc,mc.company_id:=|mc.company_type_id:=
4202,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,<,7,t.production_year,>,2013,mi.info_type_id,=,5",14,907,64.78571428571429,11-100,t|mi|mk,t.kind_id:<|t.production_year:>|mi.info_type_id:=
4007,cast_info ci,,"ci.person_id,=,2906066",1,60,60.0,<=10,ci,ci.person_id:=
2332,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.production_year,<,2008,mc.company_id,=,2296,mc.company_type_id,=,1,mk.keyword_id,<,10149",21058,375,56.154666666666664,10k-100k,t|mc|mk,t.production_year:<|mc.company_id:=|mc.company_type_id:=|mk.keyword_id:<
2670,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,7,mc.company_id,=,697,mc.company_type_id,<,2",1497,27,55.44444444444444,1k-10k,t|mc|mi_idx,t.kind_id:=|mc.company_id:=|mc.company_type_id:<
343,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","ci.person_id,=,1520514",8,440,55.0,<=10,t|ci|mi,ci.person_id:=
2819,cast_info ci,,"ci.person_id,=,342950",1,50,50.0,<=10,ci,ci.person_id:=
2708,cast_info ci,,"ci.person_id,=,1714578",1,48,48.0,<=10,ci,ci.person_id:=
4016,movie_keyword mk,,"mk.keyword_id,=,4773",5,233,46.6,<=10,mk,mk.keyword_id:=
2744,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,>,2012,ci.role_id,>,1,mk.keyword_id,=,4629",9,396,44.0,<=10,t|ci|mk,t.kind_id:=|t.production_year:>|ci.role_id:>|mk.keyword_id:=
4572,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,<,7,t.production_year,>,1956,mc.company_id,=,6476,mi.info_type_id,=,7",1581,36,43.916666666666664,1k-10k,t|mc|mi,t.kind_id:<|t.production_year:>|mc.company_id:=|mi.info_type_id:=
